n_airlines,m_slots,cap_per_airline,bidding_mode,seq_eff,seq_rev,seq_fair,seq_alpha_mean,seq_eq_gap,int_eff,int_rev,int_fair,int_alpha_mean,int_eq_gap,vcg_eff,vcg_rev,vcg_fair,seq_alpha_hub_early,seq_alpha_hub_mid,seq_alpha_hub_late,seq_alpha_p2p_early,seq_alpha_p2p_mid,seq_alpha_p2p_late,int_alpha_hub_len1,int_alpha_p2p_len1,int_alpha_hub_len2,int_alpha_p2p_len2,int_alpha_hub_len3,int_alpha_p2p_len3
12,10,3,truthful,990.4595884094265,964.8788884296597,0.76,1.0,0.0,462.97503139602406,462.97503139602406,0.375,1.0,0.0,462.97503139602406,1147.67111119078,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,959.1716712620845,759.1366928937566,0.76,0.788088,14.265850215725933,643.373068910988,533.7583582421134,0.48,0.76548,13.213008172435366,643.373068910988,937.0941479842851,0.48,0.810848,0.8271200000000001,0.801296,0.7587200000000001,0.736976,0.793568,0.70424,0.8506400000000001,0.54128,0.8873599999999999,0.8,0.8093600000000001
12,10,3,truthful,959.0442191053096,959.0442191053096,0.84,1.0,0.0,724.9833365173009,724.983336517301,0.6122448979591837,1.0,0.0,724.9833365173009,968.8736009678689,0.6122448979591837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,959.0442191053096,759.6157487689685,0.84,0.7917759999999999,16.190079864834964,1057.8523618632294,890.5643737977402,0.74,0.8219600000000001,7.104420143605258,1057.8523618632294,789.62573996518,0.74,0.7507999999999999,0.8408,0.765728,0.79472,0.782288,0.8163199999999999,0.7985599999999999,0.86072,0.7913600000000001,0.89072,0.812,0.7784
12,10,3,truthful,903.1187770390673,948.6441148237955,0.82,1.0,0.0,776.8435568959559,776.8435568959559,0.6938775510204082,1.0,0.0,776.8435568959559,986.1246542438321,0.6938775510204082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,859.2114516821548,776.7254551924292,0.78,0.8026080000000001,18.870304543532605,833.5423033032547,734.3795574607143,0.71875,0.8540800000000001,6.531064978522716,833.5423033032547,845.0697051265761,0.71875,0.77864,0.87512,0.822176,0.83168,0.684848,0.823184,0.83672,0.86072,0.8588,0.8213600000000001,0.8535200000000001,0.8933599999999999
12,10,3,truthful,1069.5386892326285,1023.7578468071882,0.86,1.0,0.0,1234.514654819725,1234.514654819725,0.76,1.0,0.0,1234.514654819725,1043.4878289414,0.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,1069.5386892326285,844.8524786324414,0.86,0.8048320000000001,13.534673235813667,1224.8871709619416,1016.2391151778136,0.74,0.75748,10.064736361046128,1224.8871709619416,854.7737789222239,0.74,0.835712,0.820304,0.851936,0.753968,0.829232,0.73784,0.7136,0.7479199999999999,0.8,0.85592,0.8468,0.58064
12,10,3,truthful,952.746745729159,997.3836058294404,0.82,1.0,0.0,771.46076528675,771.46076528675,0.6122448979591837,1.0,0.0,771.46076528675,1063.8620745696396,0.6122448979591837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,10,3,strategic,948.0658554106966,830.7611147861836,0.82,0.838832,9.380757841751988,771.46076528675,654.7541807141704,0.6122448979591837,0.6857600000000001,11.311626607590558,771.46076528675,894.0734650663026,0.6122448979591837,0.8339840000000001,0.8922559999999999,0.842144,0.8448800000000001,0.81968,0.8000480000000001,0.71744,0.84872,0.5672,0.60224,0.84872,0.53024
