n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3,uniform_alpha4,disc_alpha4
20,25,5,truthful,2859.884498715457,2313.7197279481325,92.54878911792531,0.8864,2859.884498715457,2859.884498715457,92.54878911792531,0.8864,2859.884498715457,0.8864,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2792.5127280581414,1571.0946400181047,62.843785600724175,0.9184,2814.1696321723716,1670.632114560651,54.74923193885315,0.8512,2859.884498715457,0.8864,0.676618708,0.6175604079999999,43.94385480733392,32.5988095103474,0.8036906799999999,0.48253936,0.7134620199999999,0.6421928799999999,0.5915303199999999,0.64560478,0.5757522399999998,0.6699666399999998,0.69865828,0.6474983799999998
20,25,5,truthful,2768.159807683267,2299.2593075208324,91.9703723008333,0.912,2768.159807683267,2768.1598076832674,91.9703723008333,0.912,2768.159807683267,0.912,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2761.133981434927,1822.454148092299,72.89816592369195,0.9216,2708.582304471608,1571.3147281705164,56.13658864608167,0.8896,2768.159807683267,0.912,0.7774431039999998,0.627112288,24.999345109328317,33.83399221166184,0.8127699399999999,0.43542603999999996,0.7531572999999998,0.6428653,0.66750136,0.6390129399999999,0.8939398599999999,0.7654287399999999,0.7598470599999999,0.65282842
20,25,5,truthful,3090.3625061233815,2324.225597568281,92.96902390273124,0.88,3090.3625061233815,3090.3625061233815,92.96902390273124,0.88,3090.3625061233815,0.88,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3076.1018353522113,1808.2160412105418,72.32864164842168,0.8992,3080.6045633095496,1846.3290134322112,56.094529151942524,0.864,3090.3625061233815,0.88,0.7297435,0.6239832159999998,44.36735440943243,34.05204575925388,0.7972409199999998,0.5541750999999998,0.8223729399999999,0.5655523,0.7768700199999998,0.7015502199999999,0.63312538,0.6196376199999999,0.6191082399999999,0.6790008399999998
20,25,5,truthful,3812.9226935154834,2209.50256688154,88.3801026752616,0.8608,3812.9226935154834,3812.9226935154825,88.3801026752616,0.8608,3812.9226935154834,0.8608,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3794.027547109702,1701.7866085615854,68.07146434246341,0.8832,3789.7997940416226,2112.546391567622,48.078771053469445,0.8416,3812.9226935154834,0.8608,0.740356048,0.5860274199999999,39.397059562362216,38.99544482591041,0.8198022399999999,0.5125890999999999,0.7941208599999999,0.5247896799999998,0.6026919999999999,0.5565015999999999,0.72214,0.6075344199999998,0.7630251399999999,0.7287222999999998
20,25,5,truthful,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,3565.665462495028,101.23643333133006,0.8608,3565.665462495028,0.8608,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3534.568532507255,1790.5754761497722,71.62301904599089,0.8704000000000001,3521.129281839777,2142.0755238043776,64.1990334947508,0.8415999999999999,3565.665462495028,0.8608,0.7088314479999999,0.6439233759999999,38.5365333595865,30.55778673899507,0.8439082599999999,0.48853599999999997,0.6204398799999999,0.5400890799999999,0.6048908199999998,0.7685464599999999,0.7268981199999998,0.6592964199999999,0.7480201599999998,0.7631489199999999
20,25,5,truthful,3088.110129475371,2327.5248446579567,93.10099378631827,0.8575999999999999,3088.110129475371,3088.1101294753717,93.10099378631827,0.8575999999999999,3088.110129475371,0.8575999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
