n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,uniform_eq_gap,disc_alpha,disc_eq_gap
20,25,5,truthful,2859.884498715457,2313.7197279481325,92.54878911792531,0.8864,2859.884498715457,2859.884498715457,92.54878911792531,0.8864,2859.884498715457,0.8864,,,,
20,25,5,strategic,2859.884498715457,2042.3157812976815,81.69263125190726,0.8864,2859.884498715457,1949.796475434492,63.09740932156952,0.8864,2859.884498715457,0.8864,0.8826980021079998,3.7486614802288187,0.681774552892,8.893416890691597
20,25,5,truthful,2768.159807683267,2299.2593075208324,91.9703723008333,0.912,2768.159807683267,2768.1598076832674,91.9703723008333,0.912,2768.159807683267,0.912,,,,
20,25,5,strategic,2768.159807683267,2118.7982619551676,84.7519304782067,0.912,2768.159807683267,1752.7541590848116,58.2341568992641,0.912,2768.159807683267,0.912,0.9215133999999998,0.7641469866687061,0.6331838769639999,0.0
20,25,5,truthful,3090.3625061233815,2324.225597568281,92.96902390273124,0.88,3090.3625061233815,3090.3625061233815,92.96902390273124,0.88,3090.3625061233815,0.88,,,,
20,25,5,strategic,3090.3625061233815,2048.3446675881205,81.93378670352483,0.88,3090.3625061233815,1972.8673629940179,59.350821356291206,0.88,3090.3625061233815,0.88,0.8813019999999999,16.59984877647726,0.6383935085559999,8.303902296519233
20,25,5,truthful,3812.9226935154834,2209.50256688154,88.3801026752616,0.8608,3812.9226935154834,3812.9226935154825,88.3801026752616,0.8608,3812.9226935154834,0.8608,,,,
20,25,5,strategic,3812.9226935154834,1851.0132053584855,74.04052821433942,0.8608,3812.9226935154834,2404.8598986320076,55.74247941668973,0.8608,3812.9226935154834,0.8608,0.8377510997739998,10.821942326862967,0.6307129968099999,8.365538179457822
20,25,5,truthful,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,3565.665462495028,101.23643333133006,0.8608,3565.665462495028,0.8608,,,,
20,25,5,strategic,3565.665462495028,2202.59069041349,88.1036276165396,0.8608,3565.665462495028,2483.1467489148154,70.50154394532582,0.8608,3565.665462495028,0.8608,0.8702758949259999,8.226446952531823,0.6964048576719999,8.559203249187888
20,25,5,truthful,3088.110129475371,2327.5248446579567,93.10099378631827,0.8575999999999999,3088.110129475371,3088.1101294753717,93.10099378631827,0.8575999999999999,3088.110129475371,0.8575999999999999,,,,
20,25,5,strategic,3088.110129475371,2020.8785167614583,80.83514067045833,0.8575999999999999,3088.110129475371,2048.0551778767326,61.745198323588255,0.8575999999999999,3088.110129475371,0.8575999999999999,0.8682521784459998,0.0,0.6632066513199999,0.0
20,25,5,truthful,3817.5828033504276,3136.162227051117,125.44648908204468,0.896,3817.5828033504276,3817.5828033504276,125.44648908204468,0.896,3817.5828033504276,0.896,,,,
20,25,5,strategic,3817.5828033504276,3136.162227051117,125.44648908204468,0.896,3817.5828033504276,2606.9776916685505,85.6657773730581,0.896,3817.5828033504276,0.896,1.0,0.9966372057441646,0.6828870062439999,0.0
