n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3
5,4,3,truthful,432.61765747907003,392.22290612504577,98.05572653126144,0.625,432.61765747907003,432.61765747907003,98.05572653126144,0.625,432.61765747907003,0.625,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
5,4,3,strategic,430.4660786288138,312.00003719826753,78.00000929956688,0.5,432.61765747907003,248.34373719770082,55.342652054243956,0.625,432.61765747907003,0.625,0.8136000000000001,0.5703999999999999,1.175031879875398,3.8874408334733346,0.5692,0.5644,0.9052,0.5007999999999999,0.9663999999999999,0.6459999999999999,,
5,4,3,truthful,520.6375654711408,472.73898493296264,118.18474623324066,0.5,520.6375654711408,520.6375654711408,118.18474623324066,0.5,520.6375654711408,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
5,4,3,strategic,520.6375654711408,355.22028865838735,88.80507216459684,0.5,520.6375654711408,355.31559160114466,86.27237884346981,0.5,520.6375654711408,0.5,0.7764000000000001,0.7155999999999999,1.9819742705946908,0.4693373394793632,0.5164,0.6399999999999999,0.9292,0.6484000000000001,0.8835999999999999,0.8583999999999999,,
5,4,3,truthful,635.1541678249872,454.30495954005204,113.57623988501301,0.375,635.1541678249872,635.1541678249872,113.57623988501301,0.375,635.1541678249872,0.375,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
5,4,3,strategic,635.1541678249872,372.5300668228427,93.13251670571067,0.375,635.1541678249872,458.7821400694342,82.0929061888874,0.375,635.1541678249872,0.375,0.7756,0.7279999999999999,0.7356219677453453,1.1152030237322137,0.8200000000000001,0.7227999999999999,0.7000000000000001,0.6412,0.8068,0.8199999999999998,,
6,4,3,truthful,460.36780354149096,434.8943510389853,108.72358775974632,0.625,460.36780354149096,460.36780354149096,108.72358775974632,0.625,460.36780354149096,0.625,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
6,4,3,strategic,452.2681602757541,337.7744568774911,84.44361421937278,0.75,452.2681602757541,329.0703134166387,73.21398201384132,0.75,460.36780354149096,0.625,0.742,0.6920000000000001,0.5488041360128548,3.595690998572209,0.8392,0.7276,0.5524,0.6100000000000001,0.8343999999999999,0.7384,,
6,4,3,truthful,519.1331372485205,472.85828959218634,118.21457239804658,0.5,519.1331372485205,519.1331372485205,118.21457239804658,0.5,519.1331372485205,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
6,4,3,strategic,510.420085637381,371.5858365923833,92.89645914809583,0.75,519.1331372485205,344.739162964948,79.09460440882519,0.5,519.1331372485205,0.5,0.6944,0.6779999999999999,4.943037063220615,1.582957964488969,0.8284,0.664,0.6064,0.6028,0.6484,0.7672,,
6,4,3,truthful,687.7995186245885,610.491006987325,152.62275174683126,0.375,687.7995186245885,687.7995186245885,152.62275174683126,0.375,687.7995186245885,0.375,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
6,4,3,strategic,671.1620595236649,395.75723963895257,98.93930990973814,0.5,687.7995186245885,424.86310562667757,95.06904571939947,0.375,687.7995186245885,0.375,0.7532,0.6272000000000001,1.4130855573952559,2.1895214022612564,0.4384,0.5980000000000001,0.97,0.6088,0.8512,0.6748000000000001,,
8,5,4,truthful,706.3470764440683,617.5053944881312,123.50107889762623,0.6399999999999999,706.3470764440683,706.3470764440683,123.50107889762623,0.6399999999999999,706.3470764440683,0.6399999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,4,strategic,706.3470764440683,470.7861127577512,94.15722255155023,0.6399999999999999,702.6656518575656,509.8130113889672,95.1310302282552,0.48,706.3470764440683,0.6399999999999999,0.6963999999999999,0.7459,1.347732993364609,1.0433827047313713,0.8295999999999999,0.5692,0.7624,0.7888,0.6352,0.8692,0.5584,0.7564
8,5,4,truthful,626.7837622576409,586.2895572575117,117.25791145150234,0.72,626.7837622576409,626.783762257641,117.25791145150234,0.72,626.7837622576409,0.72,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,4,strategic,618.8165244433942,463.2136021600469,92.64272043200937,0.6399999999999999,626.7837622576409,459.70181320888025,87.68866561675723,0.72,626.7837622576409,0.72,0.7069,0.8086,1.533359246700826,1.4111760130516586,0.7588,0.5944,0.8223999999999999,0.7516,0.6088,0.9531999999999999,0.6376000000000001,0.9352
8,5,4,truthful,822.4064628170706,677.1431963587673,135.42863927175347,0.5599999999999999,822.4064628170706,822.4064628170706,135.42863927175347,0.5599999999999999,822.4064628170706,0.5599999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,4,strategic,813.7861040812265,580.7819248544648,116.15638497089297,0.48,813.7861040812265,591.4107451868496,101.6258613449853,0.48,822.4064628170706,0.5599999999999999,0.7783,0.7027,1.550176601413611,2.162184155214838,0.8103999999999999,0.6940000000000001,0.9159999999999999,0.6208,0.8403999999999999,0.8584,0.5464,0.6376
