n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,uniform_eq_gap,disc_alpha,disc_eq_gap
20,25,5,truthful,2859.884498715457,2313.7197279481325,92.54878911792531,0.8864,2859.884498715457,2859.884498715457,92.54878911792531,0.8864,2859.884498715457,0.8864,,,,
20,25,5,strategic,2859.884498715457,1503.9178231662863,60.15671292665145,0.8864,2859.884498715457,1858.9249241650473,60.15671292665145,0.8864,2859.884498715457,0.8864,0.65,67.56650837981537,0.65,14.866294050545008
20,25,5,truthful,2768.159807683267,2299.2593075208324,91.9703723008333,0.912,2768.159807683267,2768.1598076832674,91.9703723008333,0.912,2768.159807683267,0.912,,,,
20,25,5,strategic,2768.159807683267,1609.4815152645826,64.37926061058332,0.912,2768.159807683267,1937.7118653782868,64.37926061058332,0.912,2768.159807683267,0.912,0.7,55.70220411159673,0.7,0.0
20,25,5,truthful,3090.3625061233815,2324.225597568281,92.96902390273124,0.88,3090.3625061233815,3090.3625061233815,92.96902390273124,0.88,3090.3625061233815,0.88,,,,
20,25,5,strategic,3090.3625061233815,1743.1691981762108,69.72676792704843,0.88,3090.3625061233815,1545.1812530616908,46.48451195136562,0.88,3090.3625061233815,0.88,0.75,42.37380519093922,0.5,0.0
20,25,5,truthful,3812.9226935154834,2209.50256688154,88.3801026752616,0.8608,3812.9226935154834,3812.9226935154825,88.3801026752616,0.8608,3812.9226935154834,0.8608,,,,
20,25,5,strategic,3812.9226935154834,2099.027438537463,83.96109754149852,0.8608,3812.9226935154834,2097.1074814335157,48.609056471393885,0.8608,3812.9226935154834,0.8608,0.95,14.75574895127783,0.55,0.0
20,25,5,truthful,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,3565.665462495028,101.23643333133006,0.8608,3565.665462495028,0.8608,,,,
20,25,5,strategic,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,1782.832731247514,50.61821666566503,0.8608,3565.665462495028,0.8608,1.0,0.0,0.5,58.054381261695575
20,25,5,truthful,3088.110129475371,2327.5248446579567,93.10099378631827,0.8575999999999999,3088.110129475371,3088.1101294753717,93.10099378631827,0.8575999999999999,3088.110129475371,0.8575999999999999,,,,
