n_airlines,m_slots,cap_per_airline,bidding_mode,seq_eff,seq_rev,seq_fair,seq_alpha,seq_eq_gap,int_eff,int_rev,int_fair,int_alpha,int_eq_gap,ivcg_eff,ivcg_rev,ivcg_fair,cvcg_eff,cvcg_rev,cvcg_fair
12,10,3,truthful,986.2747369142246,936.2560254152082,0.76,1.0,0.0,380.25368796153595,363.8074292525519,0.84,1.0,0.0,380.25368796153595,532.7920441261697,0.84,1095.0385749127665,977.1608206461535,0.74
12,10,3,strategic,986.2747369142246,797.1358700867116,0.76,0.851408,12.031645909869178,380.25368796153595,291.04594340204153,0.84,0.8,12.209132041028193,380.25368796153595,426.2336353009357,0.84,1095.0385749127665,977.1608206461535,0.74
12,10,3,truthful,931.2426782149381,961.5380878361333,0.86,1.0,0.0,367.02596470338517,367.02596470338517,0.82,1.0,0.0,367.02596470338517,429.75292049618207,0.82,1092.5586522110318,948.9616724279005,0.78
12,10,3,strategic,931.2426782149381,769.2304702689067,0.86,0.8,13.481990670851223,367.02596470338517,326.91736728059925,0.82,0.89072,7.748328215365925,367.02596470338517,382.78952134435934,0.82,1092.5586522110318,948.9616724279005,0.78
12,10,3,truthful,1020.095791507877,986.3979645887948,0.86,1.0,0.0,364.81599569144163,364.2854232886607,0.82,1.0,0.0,364.81599569144163,481.09039266102315,0.82,1073.1362055958311,999.604227598955,0.76
12,10,3,strategic,1020.095791507877,741.3451454500714,0.86,0.751568,18.9515631756638,364.81599569144163,291.42833863092864,0.82,0.8,16.30121939123044,364.81599569144163,384.87231412881835,0.82,1073.1362055958311,999.604227598955,0.76
12,10,3,truthful,1102.0959037925854,1102.0959037925852,0.82,1.0,0.0,446.8979026089614,406.63803333626356,0.86,1.0,0.0,446.8979026089614,495.20769310404376,0.86,1231.1630655567808,980.2423542402696,0.78
12,10,3,strategic,1102.0959037925854,881.6767230340685,0.82,0.8,13.494364878322846,446.8979026089614,355.36911009322733,0.86,0.8739199999999999,9.220921474259061,446.8979026089614,432.7719071574859,0.86,1231.1630655567808,980.2423542402696,0.78
12,10,3,truthful,925.4235876762447,1063.9674648457126,0.84,1.0,0.0,400.1923276320284,373.211576981271,0.82,1.0,0.0,400.1923276320284,406.54873692695145,0.82,980.2544332023207,991.4687065307512,0.82
12,10,3,strategic,925.4235876762447,851.1739718765701,0.84,0.8,12.609380971261698,400.1923276320284,298.5692615850167,0.82,0.8,10.355948936168963,400.1923276320284,325.23898954156124,0.82,980.2544332023207,991.4687065307512,0.82
12,10,3,truthful,981.0163453313979,943.6944375413491,0.78,1.0,0.0,363.2073390619028,363.20733906190287,0.86,1.0,0.0,363.2073390619028,366.9034385351322,0.86,1034.2304923453735,883.1450659351609,0.72
12,10,3,strategic,981.0163453313979,754.9555500330792,0.78,0.8,13.356436704804048,363.2073390619028,290.5658712495222,0.86,0.8,8.401967764579961,363.2073390619028,293.5227508281058,0.86,1034.2304923453735,883.1450659351609,0.72
12,10,3,truthful,1046.337486162763,1046.337486162763,0.82,1.0,0.0,414.58120726603966,402.3941370980329,0.7999999999999999,1.0,0.0,414.58120726603966,502.1630880970792,0.7999999999999999,1122.0958187549388,973.4154422009705,0.76
12,10,3,strategic,1046.337486162763,888.8511384454333,0.82,0.849488,10.242579527325102,414.58120726603966,329.44812792490154,0.7999999999999999,0.81872,11.725518900217835,414.58120726603966,411.1309634868406,0.7999999999999999,1122.0958187549388,973.4154422009705,0.76
12,10,3,truthful,930.7862619095971,930.7862619095971,0.88,1.0,0.0,335.7529592827555,335.75295928275557,0.86,1.0,0.0,335.7529592827555,437.5485402737433,0.86,955.4123430184936,846.7574949263048,0.84
12,10,3,strategic,930.7862619095971,754.7261788968731,0.88,0.810848,13.52149229032609,335.7529592827555,264.81507404549495,0.86,0.78872,12.066183645949575,335.7529592827555,345.1032846847067,0.86,955.4123430184936,846.7574949263048,0.84
12,10,3,truthful,1025.6614353769814,1006.0166008664686,0.7999999999999999,1.0,0.0,348.9264034383167,348.9264034383167,0.86,1.0,0.0,348.9264034383167,557.3009464231154,0.86,1083.8565282747845,932.8881705353767,0.72
12,10,3,strategic,1025.6614353769814,840.9815895275262,0.7999999999999999,0.835952,11.03056164736977,348.9264034383167,279.1411227506534,0.86,0.8,11.069939647452285,348.9264034383167,445.84075713849234,0.86,1083.8565282747845,932.8881705353767,0.72
12,10,3,truthful,1013.6513311801475,1013.6513311801475,0.86,1.0,0.0,341.06210481673867,331.9654905774568,0.84,1.0,0.0,341.06210481673867,424.8810285773256,0.84,1117.3416721791218,1054.1289821860637,0.8
12,10,3,strategic,1013.6513311801475,848.9208260473994,0.86,0.837488,9.664497997916433,341.06210481673867,265.5723924619655,0.84,0.8,11.920401161476981,341.06210481673867,339.90482286186034,0.84,1117.3416721791218,1054.1289821860637,0.8
