n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3,uniform_alpha4,disc_alpha4
20,25,5,truthful,2859.884498715457,2313.7197279481325,92.54878911792531,0.8864,2859.884498715457,2859.884498715457,92.54878911792531,0.8864,2859.884498715457,0.8864,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2847.85120126141,2023.6775473287366,80.94710189314947,0.8928,2810.6372150492803,2011.3172863798172,64.70244024495224,0.8512,2859.884498715457,0.8864,0.8983839999999998,0.755008,0.5886488637740612,1.6714193216176625,0.9332799999999999,0.5360800000000001,0.9680799999999999,0.76216,0.8977599999999999,0.8188,0.75832,0.6628,0.93448,0.9952
20,25,5,truthful,2768.159807683267,2299.2593075208324,91.9703723008333,0.912,2768.159807683267,2768.1598076832674,91.9703723008333,0.912,2768.159807683267,0.912,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,2767.640497732268,2071.9094953682074,82.8763798147283,0.9152,2742.528090369343,1920.333768977684,62.560950969155265,0.9312,2768.159807683267,0.912,0.8888320000000001,0.675184,0.5190180391356307,3.105870514859454,0.88,0.7203999999999999,0.90808,0.66232,0.84352,0.56728,0.8521599999999999,0.68608,0.9603999999999999,0.73984
20,25,5,truthful,3090.3625061233815,2324.225597568281,92.96902390273124,0.88,3090.3625061233815,3090.3625061233815,92.96902390273124,0.88,3090.3625061233815,0.88,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3076.1018353522113,2208.181055791951,88.32724223167804,0.8992,3070.7866170265597,2046.8228781784176,63.543057526656746,0.8704000000000001,3090.3625061233815,0.88,0.831616,0.700672,1.0231315146758604,1.3085955227635608,0.988,0.55936,0.95368,0.5656,0.90448,0.8747199999999999,0.8274400000000001,0.61648,0.48448,0.8872
20,25,5,truthful,3812.9226935154834,2209.50256688154,88.3801026752616,0.8608,3812.9226935154834,3812.9226935154825,88.3801026752616,0.8608,3812.9226935154834,0.8608,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3811.5747619059875,2071.8878643916123,82.8755145756645,0.864,3809.502466472148,2738.270264614093,62.64604716344018,0.8608,3812.9226935154834,0.8608,0.8833119999999999,0.750832,0.7990514396254298,2.276602534523569,0.9351999999999999,0.68968,0.9231999999999999,0.69616,0.95224,0.5728,0.8005599999999999,0.8128,0.8053600000000001,0.98272
20,25,5,truthful,3565.665462495028,2530.9108332832516,101.23643333133006,0.8608,3565.665462495028,3565.665462495028,101.23643333133006,0.8608,3565.665462495028,0.8608,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3560.089461567377,2210.193812489598,88.40775249958392,0.8735999999999999,3525.8449438067264,2410.655486699597,68.2920096243745,0.8448,3565.665462495028,0.8608,0.89896,0.72184,0.4498221122064763,2.0500731368847767,0.95008,0.62872,0.8732800000000001,0.57352,0.9512799999999999,0.7638400000000001,0.9455199999999999,0.7549600000000001,0.77464,0.88816
20,25,5,truthful,3088.110129475371,2327.5248446579567,93.10099378631827,0.8575999999999999,3088.110129475371,3088.1101294753717,93.10099378631827,0.8575999999999999,3088.110129475371,0.8575999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,25,5,strategic,3056.4374367962655,2016.3706715960088,80.65482686384036,0.8864,3067.626840860136,2037.0961893168173,59.30017240276128,0.8672,3088.110129475371,0.8575999999999999,0.8836960000000001,0.656176,0.7981195644874433,3.4708373261479437,0.988,0.70936,0.9632799999999999,0.6188800000000001,0.83128,0.59872,0.82216,0.6044799999999999,0.81376,0.74944
