n_airlines,m_slots,max_demand,uniform_eff,uniform_rev,uniform_price,disc_eff,disc_rev,disc_price,welfare_eff
10,20,5,2230.8655461439143,1656.9112490457405,82.84556245228703,2230.8655461439143,2230.8655461439143,82.84556245228703,2230.8655461439143
10,20,5,2219.0369621180234,1778.5962062158462,88.92981031079232,2219.0369621180234,2219.0369621180234,88.92981031079232,2219.0369621180234
10,20,5,2395.1932057468484,1672.6518617973534,83.63259308986767,2395.1932057468484,2395.1932057468484,83.63259308986767,2395.1932057468484
10,20,5,3107.8838728117753,1427.737666617641,71.38688333088206,3107.8838728117753,3115.4346862140746,71.38688333088206,3107.8838728117753
10,20,5,2143.279501564413,1520.332643816616,76.0166321908308,2143.279501564413,2143.279501564413,76.0166321908308,2143.279501564413
10,20,5,2315.63012027725,1594.5698647212373,79.72849323606187,2315.63012027725,2315.6301202772506,79.72849323606187,2315.63012027725
10,20,5,2847.4458492928798,2257.0966156072495,112.85483078036246,2847.4458492928798,2847.4458492928798,112.85483078036246,2847.4458492928798
10,20,5,1910.8251947580093,1369.5335784582394,68.47667892291197,1910.8251947580093,1910.8251947580093,68.47667892291197,1910.8251947580093
10,20,5,2157.9220925167665,1461.423153954743,73.07115769773715,2157.9220925167665,2157.9220925167665,73.07115769773715,2157.9220925167665
10,20,5,2038.1408510984165,1516.922260865244,75.84611304326219,2038.1408510984165,2038.1408510984165,75.84611304326219,2038.1408510984165
20,30,5,3281.9812526025376,2493.273622003837,83.10912073346122,3281.9812526025376,3281.981252602537,83.10912073346122,3281.9812526025376
20,30,5,3222.508032812521,2708.776544141995,90.29255147139986,3222.508032812521,3222.508032812521,90.29255147139986,3222.508032812521
20,30,5,3542.2389011609334,2644.1857186144452,88.13952395381486,3542.2389011609334,3542.6858865329987,88.13952395381486,3542.2389011609334
20,30,5,4243.401184889912,2544.623454940077,84.82078183133589,4243.401184889912,4243.401184889912,84.82078183133589,4243.401184889912
20,30,5,4029.132895124852,2659.5684275470226,88.65228091823408,4029.132895124852,4029.132895124852,88.65228091823408,4029.132895124852
20,30,5,3509.8150123507735,2432.827743892941,81.0942581297647,3509.8150123507735,3509.815012350774,81.0942581297647,3509.8150123507735
20,30,5,4413.400722535675,3514.095569677994,117.13651898926648,4413.400722535675,4413.400722535676,117.13651898926648,4413.400722535675
20,30,5,3000.0678478756918,2313.736733418675,77.1245577806225,3000.0678478756918,3000.0678478756918,77.1245577806225,3000.0678478756918
20,30,5,3840.651897212648,2795.08013671952,93.16933789065067,3840.651897212648,3840.651897212648,93.16933789065067,3840.651897212648
20,30,5,4303.879574072407,3126.669041170346,104.22230137234487,4303.879574072407,4303.879574072407,104.22230137234487,4303.879574072407
30,40,5,4562.888256463784,3572.9035961840536,89.32258990460134,4562.888256463784,4562.888256463784,89.32258990460134,4562.888256463784
30,40,5,4487.180022156906,3596.220276653083,89.90550691632708,4487.180022156906,4487.180022156906,89.90550691632708,4487.180022156906
30,40,5,5069.454242914334,3802.9945562121184,95.07486390530296,5069.454242914334,5069.454242914334,95.07486390530296,5069.454242914334
30,40,5,6023.575684371409,3784.414374309697,94.61035935774245,6023.575684371409,6023.575684371409,94.61035935774245,6023.575684371409
30,40,5,5264.797828348661,3836.60697274007,95.91517431850174,5264.797828348661,5264.79782834866,95.91517431850174,5264.797828348661
30,40,5,4581.83383955457,3473.9207170683826,86.84801792670957,4581.83383955457,4581.83383955457,86.84801792670957,4581.83383955457
30,40,5,5627.234697274589,4362.20953508003,109.05523837700072,5627.234697274589,5627.234697274589,109.05523837700072,5627.234697274589
30,40,5,3985.262447511714,3190.409172189336,79.76022930473339,3985.262447511714,3985.262447511715,79.76022930473339,3985.262447511714
30,40,5,5061.517249896246,3863.1304275214247,96.57826068803561,5061.517249896246,5061.517249896245,96.57826068803561,5061.517249896246
30,40,5,5881.663444967295,4118.316464273955,102.95791160684887,5881.663444967295,5881.663444967295,102.95791160684887,5881.663444967295
40,50,5,5857.969213726745,4666.132175094864,93.32264350189728,5857.969213726745,5857.969213726747,93.32264350189728,5857.969213726745
40,50,5,6293.427984219118,4709.229641388177,94.18459282776354,6293.427984219118,6293.427984219119,94.18459282776354,6293.427984219118
40,50,5,6359.328536852552,5013.324908314896,100.26649816629792,6359.328536852552,6359.32853685255,100.26649816629792,6359.328536852552
40,50,5,7208.030402096476,4753.171919453346,95.06343838906693,7208.030402096476,7208.030402096474,95.06343838906693,7208.030402096476
40,50,5,6592.219933224592,4892.516372786386,97.85032745572771,6592.219933224592,6592.219933224593,97.85032745572771,6592.219933224592
40,50,5,5599.738578935271,4173.297340724664,83.46594681449328,5599.738578935271,5599.738578935269,83.46594681449328,5599.738578935271
40,50,5,6935.712041121301,5414.014158861368,108.28028317722736,6935.712041121301,6935.712041121301,108.28028317722736,6935.712041121301
40,50,5,5105.038229879492,4124.060562993686,82.48121125987372,5105.038229879492,5105.038229879492,82.48121125987372,5105.038229879492
40,50,5,6623.619977495279,5020.182580266661,100.40365160533321,6623.619977495279,6623.619977495278,100.40365160533321,6623.619977495279
40,50,5,6954.916572067645,5065.586493484805,101.3117298696961,6954.916572067645,6957.723838035778,101.3117298696961,6954.916572067645
